transaction_date,description,amount,category,account
2024-02-01,Coffee Shop Purchase,4.50,Food,Checking
02/01/2024,AMAZON.COM PURCHASE,$89.99,Shopping,Credit
Feb 1, 2024,Electric Bill Payment,125.00,Utilities,Checking
2024-02-02,Gas Station,45.00,Transportation,Credit
02/02/2024,NETFLIX SUBSCRIPTION,$15.99,Entertainment,Credit
2024-02-03,Grocery Store,"1,200.50",Food,Checking
Feb 3, 2024,Restaurant Dinner,78.50,Food,Credit
2024-02-04,Phone Bill,$85.00,Utilities,Checking
02/04/2024,UBER RIDE,24.99,Transportation,Credit
2024-02-05,Online Shopping,"250.00",Shopping,Credit
Feb 5, 2024,Water Bill,45.00,Utilities,Checking
2024-02-06,Coffee Shop,$5.25,Food,Checking
02/06/2024,GYM MEMBERSHIP,50.00,Health,Credit
2024-02-07,Pharmacy Purchase,$32.99,Health,Checking
Feb 7, 2024,Movie Theater,"25.00",Entertainment,Credit
2024-02-08,Gas Station Fill Up,$52.00,Transportation,Checking
02/08/2024,SPOTIFY PREMIUM,9.99,Entertainment,Credit
2024-02-09,Supermarket,"185.75",Food,Checking
Feb 9, 2024,Internet Bill,$79.99,Utilities,Checking
2024-02-10,Clothing Store,125.00,Shopping,Credit
02/10/2024,LYFT RIDE,$18.50,Transportation,Credit
2024-02-11,Doctor Visit,"150.00",Health,Checking
Feb 11, 2024,Restaurant Lunch,35.00,Food,Credit
2024-02-12,Home Supplies,$45.99,Shopping,Credit
02/12/2024,INSURANCE PAYMENT,"225.00",Insurance,Checking
2024-02-13,Fast Food,$12.50,Food,Checking
Feb 13, 2024,Book Purchase,24.99,Shopping,Credit
2024-02-14,Flowers Shop,"65.00",Shopping,Credit
02/14/2024,DINNER RESERVATION,$125.00,Food,Credit
2024-02-15,Gas Station,48.00,Transportation,Checking
Feb 15, 2024,Streaming Service,$12.99,Entertainment,Credit
2024-02-16,Grocery Run,"95.50",Food,Checking
02/16/2024,PET SUPPLIES,$67.99,Shopping,Credit
2024-02-17,Parking Garage,15.00,Transportation,Checking
Feb 17, 2024,Concert Tickets,"150.00",Entertainment,Credit
